x,y
8.329826E7,0.015665539986869176
8.7682376E7,0.010206137449600746
9.229724E7,0.045204354837766546
9.715499E7,0.07573186779993464
1.0226842E8,0.10139685352725163
1.0765097E8,0.12259171542821239
1.1331681E8,0.13813784289474704
1.19280856E8,0.14800700254114454
1.255588E8,0.15163777581182694
1.3216716E8,0.14847025394350707
1.3912333E8,0.13814740168644224
1.4644562E8,0.11986752531128446
1.5415328E8,0.09326964990623136
1.6226661E8,0.057029500328800144
1.7080696E8,0.011447224934114717
1.797968E8,0.028785550113436812
1.8925979E8,0.05807413544940406
1.9922083E8,0.07781997092380549
2.0970614E8,0.08746082120127861
2.2074331E8,0.0860648033235434
2.3236139E8,0.07275194038823654
2.4459094E8,0.04646202672937083
2.5746416E8,0.006442853931191684
2.710149E8,0.031198230279236225
2.8527885E8,0.05423478837671803
3.0029354E8,0.062543807056566
3.1609846E8,0.05496677374137438
3.3273523E8,0.03026837179619214
3.502476E8,0.010262864037658276
3.686817E8,0.03891491926057385
3.88086E8,0.04852267897015562
4.085116E8,0.03739083644816557
4.3001222E8,0.004183116926206057
4.5264445E8,0.0295304584300039
4.7646784E8,0.03949985720864395
5.015451E8,0.02424362683319497
5.279422E8,0.013592843839950592
5.5572864E8,0.033024104811865004
5.8497754E8,0.023183298118089557
6.157658E8,0.01320844136319692
6.481746E8,0.028990442076385098
6.82289E8,0.010436774224199908
7.18199E8,0.0222137577765241
7.559989E8,0.018886634351061846
7.9578835E8,0.015452085741714658
8.3767194E8,0.019202031554512188
8.8175994E8,0.013711820237709867
9.281684E8,0.015648139235311415
9.770194E8,0.016237512492687817
1.0284415E9,0.006524171988133951
1.08257E9,0.017296825485604937
1.1395474E9,0.009982808701648452
1.1995236E9,0.006503870957302975
1.2626564E9,0.014134786106331919
1.3291119E9,0.013297058309237497
1.3990652E9,0.00828423978600161
1.4727003E9,0.0021838268549876612
1.5502108E9,0.002670081005705662
1.6318008E9,0.004649269832536654
1.7176851E9,0.0046482396709467185
1.8080896E9,0.002837286827886795
1.9032522E9,0.0011026669803289174
2.0034234E9,0.005682397255414654
2.1088667E9,0.00858076363657698
2.2198597E9,0.007224252193016865
2.3366945E9,0.0013687960996794115
2.4596785E9,0.007596845977638306
2.5891354E9,9.423656613106323E-4
2.7254057E9,0.006835271151176162
2.868848E9,0.004238930329430364
3.0198403E9,0.0011290531026246046
3.1787791E9,0.0039121938496291826
3.3460833E9,0.004457307804799967
3.5221932E9,0.0038400051570164975
3.7075717E9,0.0016322480209991952
3.9027072E9,0.0026963956560175687
4.108113E9,0.0045314229252648676
4.3243295E9,8.232121904441715E-4
4.551926E9,0.003569630334660327
4.791501E9,0.0038848257190244916
5.0436854E9,0.0034862146915024105
5.3091425E9,0.003494811408863427
5.588571E9,0.002913911409533233
5.8827064E9,0.0010157251252912276
6.1923226E9,0.0026798562647888007
6.5182346E9,0.002839174064292459
6.8612997E9,0.002651175698408511
7.222421E9,0.002509778037737635
7.6025487E9,1.0117272092786473E-4
8.002683E9,0.0022024912332044237
8.4238766E9,0.002226893827956801
8.867239E9,0.0019732846396395835
9.333936E9,2.603082544032495E-4
9.825196E9,0.001550337837351177
1.0342312E10,0.0015147772451381413
1.0886645E10,8.203692358645784E-5
1.1459626E10,0.0015187195021475178
1.2062764E10,0.0014722821259043962
1.2697646E10,2.1308814100036994E-4
1.3365943E10,0.0011838059101295555
1.4069414E10,7.181298960719929E-4
1.4809909E10,0.0012260993383852196
1.5589378E10,0.001181276533981223
1.6409871E10,3.0452477516639583E-4
1.7273549E10,3.004265746237083E-4
1.8182683E10,0.0010202351069550175
1.9139666E10,9.780119235477385E-4
2.0147018E10,5.590742244971123E-4
2.1207388E10,8.777659018746399E-4
2.2323567E10,7.873991643001482E-4
2.3498492E10,9.056281135931012E-5
2.4735255E10,6.223480094154253E-4
2.603711E10,6.603754269009946E-4
2.7407485E10,4.635268640234857E-4
2.8849983E10,2.0850724955656018E-4
3.0368403E10,6.173096273800919E-4
3.196674E10,3.385097716392443E-5
3.3649201E10,5.536681920278018E-4
3.5420213E10,8.896276236748222E-5
3.7284434E10,5.009736740978878E-4
3.9246774E10,3.5399958792915807E-4
4.1312395E10,2.3453207975943245E-4
4.3486732E10,3.7473361367153604E-4
4.5775507E10,2.5374614125563025E-4
4.8184746E10,3.3094725058092434E-4
5.0720784E10,6.475124224154359E-5
5.33903E10,7.472113498963487E-5
5.6200315E10,3.3232005330828226E-4
5.9158225E10,2.6512722849683927E-4
6.2271816E10,2.3285997546465182E-4
6.554928E10,2.519779582033533E-4
6.899924E10,2.6060950731485183E-4
7.263078E10,2.3963557832529676E-4
7.645345E10,1.0460568176708283E-4
8.047732E10,2.308212041736879E-4
8.471297E10,2.208587174906523E-4
8.917155E10,6.039122090213787E-5
9.386479E10,1.915283440347793E-4
9.880504E10,1.853403304271065E-4
1.04005304E11,1.293505378109409E-4
1.0947927E11,7.312212080372848E-5
1.15241345E11,9.883388280614007E-5
1.2130668E11,9.933740750287225E-6
1.2769124E11,4.911999510028825E-5
1.3441184E11,1.1879450590304652E-4
